RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,region,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
1840,29/04/2020 08:30,week 2,1,10,2, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Rarely,Rarely,Not at all,Not at all, ,Sometimes,Always,Always,Always,Always,Sometimes,Frequently,Sometimes,Always,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.199598127,Male,41,Penang,2,0,Full time employment,0,Several days,Several days,Several days,Several days
1841,29/04/2020 08:16,week 2,5,5,1, , , ,Not sure,Not sure,Not sure,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely, ,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.981988129,Male,23,Perak,5,0,Full time employment,7,More than half the days,More than half the days,More than half the days,More than half the days
1842,29/04/2020 08:20,week 2,3,1,1, , , ,Not sure,Somewhat easy,Not sure,Always,Always,Rarely,Always,Always,Not at all,Sometimes,Not at all,Sometimes, ,Not at all,Always,Always,Always,Always,Rarely,Always,Not at all,Always,Not at all,5,No,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not",Not sure,No,No,No,No,No,Yes, ,0.984000031,Male,21,Negeri Sembilan,3,0,Full time employment,9,Not at all,Not at all,Not at all,Not at all
1843,29/04/2020 08:21,week 2,1,0,0, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Frequently,Frequently,Always,Always,Frequently, ,Always,Always,Always,Always,Always,Frequently,Frequently,Always,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.854425912,Female,29,Kuala Lumpur,2,0,Full time employment,5,Not at all,Not at all,Several days,Several days
1844,29/04/2020 08:26,week 2,0,1,4, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Sometimes,Always, , ,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Always,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not",Not sure,No,No,No,No,No,Yes, ,0.96222327,Female,29,Selangor,1,0,Full time student,8,Not at all,Not at all,Not at all,More than half the days
1845,29/04/2020 08:27,week 2,10,3,1, , , ,Not sure,Somewhat easy,Somewhat willing,Rarely,Sometimes,Frequently,Sometimes,Not at all,Frequently,Not at all,Not at all,Always,Always,Not at all,Sometimes,Always,Frequently,Rarely,Not at all,Not at all,Not at all,Not at all,Rarely,10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.941525698,Female,21,Kelantan,8 or more,2,Part time employment,5,Several days,Several days,Several days,Not at all
1846,29/04/2020 08:28,week 2,4,3,3, , , ,No,Somewhat easy,Very willing,Frequently,Always,Frequently,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Rarely, ,Frequently,Always,Frequently,Always,Frequently,Rarely,Rarely,Always,Sometimes,Sometimes,6,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.853405385,Female,37,Johor,4,0,Part time employment,2,More than half the days,More than half the days,More than half the days,Several days
1847,29/04/2020 08:29,week 2,5,5,0, , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Sometimes,Sometimes,Rarely,Sometimes,Not at all,Sometimes,Always,Sometimes, ,Not at all,Always,Always,Always,Always,Sometimes,Not at all,Sometimes,Sometimes,Always,Not at all,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not",Not sure,No,No,No,No,No,Yes, ,0.928559093,Female,32,Johor,4,2,Not working,3,Prefer not to say,More than half the days,Not at all,Several days
1848,29/04/2020 08:29,week 2,4,2,0, , , ,Yes,Very easy,Very willing,Always,Always,Sometimes,Always,Always,Always,Sometimes,Always, ,Always,Sometimes,Always,Always,Always,Always,Sometimes,Always,Sometimes,Frequently,Not at all,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.962937565,Male,19,Terengganu,4,2,Full time student,8,Several days,Several days,Several days,Several days
1849,29/04/2020 08:29,week 2,3,0,0, , , ,Yes,Somewhat difficult,Somewhat unwilling,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Rarely,Always,1000,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.200457162,Male,29,Serawak,4,1,Full time employment,5,Not at all,Not at all,Not at all,Not at all
1850,29/04/2020 08:31,week 2,0,0,0, , , ,Yes,Somewhat easy,Very willing,Frequently,Always,Frequently,Frequently,Always,Frequently,Always,Sometimes, , ,Always,Always,Always,Always,Always,Sometimes,Frequently,Always,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.884344924,Female,43,Selangor,1,0,Not working,4,More than half the days,Several days,Not at all,Several days
1851,29/04/2020 08:31,week 2,2,10,0, , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Always,Sometimes,Always, , ,Always,Always,Always,Always,Always,Not at all,Not at all,Not at all,Frequently,Always,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.928559093,Female,26,Johor,Prefer not to say,Prefer not to say,Not working,9,Several days,Several days,Several days,Several days
