RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,region,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
620,11/04/2020 03:44,week 1,3,8,20, , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,4,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.879093923,Female,18,Northeastern Region,Prefer not to say,Prefer not to say,Full time employment, , , , , 
621,11/04/2020 03:45,week 1,3,4,6, , , ,Yes,Very easy,Very willing,Always,Always,Sometimes,Always,Not at all,Sometimes,Sometimes,Not at all,Sometimes, ,Sometimes,Always,Not at all,Not at all,Always,Sometimes,Not at all,Not at all,Sometimes,Not at all,18,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,__NA__,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,"Yes, and I tested negative","No, they have not",No,No,No,No,No,Yes, ,0.911581678,Male,57,Northern Region,4,0,Part time employment, , , , , 
622,11/04/2020 03:46,week 1,5,0,0, , , ,No,Somewhat easy,Very willing,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Not at all,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.964423109,Female,25,Northern Region,8 or more,2,Full time employment, , , , , 
623,11/04/2020 03:49,week 1,4,5,2, , , ,No,Very easy,Very willing,Always,Frequently,Always,Always,Frequently,Sometimes,Not at all,Always, , ,Rarely,Sometimes,Sometimes,Sometimes,Always,Sometimes,Not at all,Frequently,Frequently,Always,9, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, ,1.002710547,Male,20,Northeastern Region,4,0,Full time student, , , , , 
624,11/04/2020 03:51,week 1,0,6,0, , , ,Yes,Very easy,Very willing,Always,Sometimes,Sometimes,Frequently,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Frequently,Always,Not at all,Rarely,Sometimes,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.95497708,Female,20,Northern Region,4,1,Full time student, , , , , 
625,11/04/2020 03:52,week 1,2,30,2,Not sure,Frequently,No,Yes,Somewhat difficult,Somewhat willing,Always,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,14,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",Yes,Yes,No,No,No,No,No,1.326239473,Male,31,Central Region,3,1,Full time employment, , , , , 
626,11/04/2020 03:52,week 1,2,1,1,Yes,Always,Yes,Yes,Somewhat easy,Somewhat willing,Always,Always,Frequently,Always,Always,Always,Always,Frequently,Frequently,Always,Always,Always,Always,Frequently,Frequently,Always,Always,Always,Always,Always,15,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"Yes, and I tested positive","Yes, and they tested negative",Yes,Yes,No,No,No,No,Yes,0.862457148,Male,23,Northern Region,4,1,Part time employment, , , , , 
627,11/04/2020 03:54,week 1,1,2,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Sometimes,Frequently,Always,Always,Always,Always,Always,Always,Frequently,Rarely,Sometimes,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.964423109,Female,33,Northern Region,4,2,Part time employment, , , , , 
628,11/04/2020 03:55,week 1,5,100,3,Yes,Rarely,No,Yes,Somewhat difficult,Somewhat unwilling,Always,Frequently,Frequently,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,10,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,"Yes, and I tested positive","Yes, and they tested positive",No,No,No,No,Yes,No,Yes,1.017386906,Male,26,Northern Region,4,0,Full time employment, , , , , 
629,11/04/2020 03:56,week 1,1,1,1, , , ,No,Somewhat easy,Neither willing nor unwilling,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Frequently,5,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,__NA__,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, ,1.084704432,Male,27,Northeastern Region,3,1,Full time employment, , , , , 
630,11/04/2020 03:59,week 1,1,1,1, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Always,Frequently,Frequently,15,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.238830809,Female,31,Central Region,8 or more,3,Full time employment, , , , , 
631,11/04/2020 04:01,week 1,2,2,1, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Frequently,Always,Always, ,Always,Always,Frequently,Frequently,Always,Always,Sometimes,Sometimes,Sometimes,Frequently,Frequently,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.974143918,Female,34,Northeastern Region,4,2,Unemployed, , , , , 
632,11/04/2020 04:02,week 1,4,0,2, , , ,No,Neither easy nor difficult,Somewhat willing,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Frequently,Sometimes,Sometimes,Frequently,Always,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,?????????,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.915243948,Female,41,Northeastern Region,4,1,Full time employment, , , , , 
633,11/04/2020 04:03,week 1,0,7,6, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Frequently,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.002710547,Male,21,Northeastern Region,6,0,Not working, , , , , 
634,11/04/2020 04:04,week 1,0,10,2, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Rarely,Always,Always,Always,Sometimes, ,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Always,Always,Frequently,Rarely,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.978721265,Female,27,Northern Region,1,0,Full time employment, , , , , 
635,11/04/2020 04:05,week 1,1,0,1, , , ,No,Somewhat difficult,Very willing,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Frequently,Not at all,Sometimes,Sometimes, ,Not at all,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Not at all,Sometimes,Sometimes,5,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes, , ,No,No,No,No,No,Yes, ,0.955872322,Male,38,Northern Region,3,0,Full time employment, , , , , 
636,11/04/2020 04:05,week 1,4,1,0, , , ,Yes,Somewhat difficult,Somewhat unwilling,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not",Not sure,No,No,No,No,No,Yes, ,0.950510781,Female,18,Northeastern Region,4,Prefer not to say,Not working, , , , , 
637,11/04/2020 04:09,week 1,3,5,1,No,Sometimes,Not sure,Not sure,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Sometimes,Frequently,Frequently,Always,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Always,Sometimes,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,"No, I have not","Yes, and they tested positive",No,No,No,No,Yes,No,Yes,1.306864417,Male,25,Central Region,5,1,Full time employment, , , , , 
638,11/04/2020 04:12,week 1,1,2,2, , , ,No,Neither easy nor difficult,Somewhat willing,Sometimes,Frequently,Frequently,Sometimes,Frequently,Sometimes,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Sometimes,Sometimes,Always,Frequently,Frequently,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.238830809,Female,25,Central Region,5,1,Full time employment, , , , , 
639,11/04/2020 04:14,week 1,2,2,1, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,4,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.991007135,Female,32,Southern Region,3,2,Full time employment, , , , , 
640,11/04/2020 04:14,week 1,0,0,1, , , ,Yes,Somewhat easy,Somewhat willing,Always,Sometimes,Always,Frequently,Frequently,Always,Always,Always,Always, ,Always,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Always,Sometimes,Always,7,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.227847063,Male,38,Central Region,1,0,Full time employment, , , , , 
641,11/04/2020 04:18,week 1,3,5,1, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Frequently,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,2,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes, ,0.91811757,Male,24,Northern Region,4,0,Full time employment, , , , , 
642,11/04/2020 04:18,week 1,2,0,1, , , ,No,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Rarely,Frequently,Not at all, , ,Not at all,Always,Always,Always,Rarely,Sometimes,Always,Always,Frequently,Not at all,16, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.919544534,Female,35,Northern Region,4,0,Other, , , , , 
643,11/04/2020 04:20,week 1,0,1,0, , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Frequently,Always,Always,Always,Always,Frequently,Always, ,Frequently,Frequently,Always,Always,Always,Frequently,Frequently,Frequently,Sometimes,Frequently,4,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.970043708,Male,41,Northern Region,1,0,Part time employment, , , , , 
644,11/04/2020 04:21,week 1,1,1,1,No,Rarely,No,Yes,Somewhat difficult,Somewhat unwilling,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Sometimes,Sometimes,Always,Always,Rarely,Always,Sometimes,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,Yes,No,No,0.950510781,Female,19,Northeastern Region,6,0,Unemployed, , , , , 
645,11/04/2020 04:21,week 1,3,0,0,No,Always,No,Yes,Very easy,Very willing,Always,Always,Frequently,Always,Always,Always,Always,Always, , ,Frequently,Always,Always,Always,Always,Always,Sometimes,Sometimes,Always,Always,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,Yes,No,No,No,No,No,0.941025803,Female,18,Northern Region,3,0,Unemployed, , , , , 
646,11/04/2020 04:21,week 1,3,0,1, , , ,No,Somewhat easy,Somewhat willing,Always,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.955872322,Male,42,Northern Region,4,2,Full time employment, , , , , 
647,11/04/2020 04:22,week 1,2,2,0, , , ,Yes,Very difficult,Very willing,Always,Always,Frequently,Always,Always,Always,Sometimes,Sometimes, , ,Always,Frequently,Always,Always,Frequently,Frequently,Always,Frequently,Frequently,Always,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.891960944,Female,25,Northern Region,3,0,Unemployed, , , , , 
648,11/04/2020 04:22,week 1,4,0,3, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always,Always, ,Always,Frequently,Always,Always,Always,Frequently,Always,Always,Always,Always,3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.294064351,Male,24,Central Region,4,0,Full time employment, , , , , 
649,11/04/2020 04:22,week 1,0,1,1, , , ,Yes,Neither easy nor difficult,Very willing,Sometimes,Always,Always,Always,Always,Frequently,Always,Always,Frequently, ,Always,Always,Always,Always,Always,Frequently,Always,Sometimes,Frequently,Always,7,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.928812993,Female,35,Northeastern Region,4,0,Full time employment, , , , , 
650,11/04/2020 04:26,week 1,2,0,1, , , ,No,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Sometimes,Not at all,Always,Not at all,Always,Rarely,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,10,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.246050639,Male,43,Central Region,3,1,Full time employment, , , , , 
651,11/04/2020 04:26,week 1,0,0,2, , , ,Yes,Very easy,Very willing,Always,Always,Frequently,Always,Always,Always,Always,Always, , ,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always,Sometimes,Always,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.891960944,Female,27,Northern Region,1,0,Unemployed, , , , , 
652,11/04/2020 04:27,week 1,2,100,20, , , ,Not sure,Neither easy nor difficult,Somewhat willing,Always,Frequently,Frequently,Always,Frequently,Sometimes,Sometimes,Always,Rarely, ,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Frequently,Frequently,5,No,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.892469349,Male,35,Northern Region,3,0,Full time employment, , , , , 
653,11/04/2020 04:29,week 1,3,3,1, , , ,No,Somewhat easy,Very willing,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Rarely,Frequently,Sometimes, ,Sometimes,Sometimes,Frequently,Frequently,Always,Frequently,Sometimes,Frequently,Frequently,Frequently,4,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.854535854,Female,37,Northeastern Region,3,0,Full time employment, , , , , 
654,11/04/2020 04:31,week 1,2,2,2, , , ,Not sure,Somewhat difficult,Somewhat unwilling,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Rarely,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Frequently,Sometimes,Frequently,Always,2,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.95497708,Female,23,Northern Region,6,1,Full time employment, , , , , 
655,11/04/2020 04:33,week 1,0,0,0,No,Always,No,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,6,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,"Yes, and I have not received my results from the test yet",Not sure,No,Yes,No,No,No,No,No,0.97349131,Male,18,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),4,2,Part time employment, , , , , 
656,11/04/2020 04:35,week 1,2,0,1, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always,Not at all,Always,Always,Frequently,Always,Always,Always,Rarely,Not at all,Sometimes,Frequently,Frequently,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,???????????,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.838030029,Female,42,Northern Region,5,2,Part time employment, , , , , 
657,11/04/2020 04:35,week 1,0,0,2, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Frequently,Always,Always,Always,Sometimes,Always,Always, ,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,3,No,No,No,No,No,No,No,No,No,No,Yes,No,No,???,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.007422124,Male,21,Northern Region,2,0,Full time employment, , , , , 
658,11/04/2020 04:39,week 1,2,0,0, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Frequently,Always,Always,Frequently,Frequently,Frequently, ,Always,Frequently,Frequently,Always,Always,Always,Frequently,Always,Frequently,Sometimes,Sometimes,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.950510781,Female,20,Northeastern Region,5,2,Full time student, , , , , 
659,11/04/2020 04:39,week 1,5,0,3, , , ,No,Somewhat easy,Somewhat willing,Always,Always,Frequently,Always,Sometimes,Frequently,Sometimes,Always, ,Always,Sometimes,Sometimes,Always,Frequently,Frequently,Frequently,Always,Sometimes,Frequently,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,"Yes, and I tested negative",Not sure,No,No,No,No,No,Yes, ,0.928812993,Female,40,Northeastern Region,5,2,Not working, , , , , 
660,11/04/2020 04:46,week 1,2,2,2,Yes,Frequently,Yes,Yes,Very easy,Very willing,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,10,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested positive","Yes, and they tested positive",No,No,No,Yes,No,No,Yes,0.915243948,Female,43,Northeastern Region,2,2,Full time employment, , , , , 
661,11/04/2020 04:47,week 1,1,1,1, , , ,Not sure,Very difficult,Not sure,Always,Frequently,Frequently,Always,Rarely,Frequently,Always,Always,Sometimes, ,Frequently,Not at all,Rarely,Always,Always,Rarely,Always,Rarely,Not at all,Frequently,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.928812993,Female,41,Northeastern Region,2,0,Part time employment, , , , , 
662,11/04/2020 04:48,week 1,6,0,3, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Always,Always,Sometimes,Always,Frequently,Always,Always,7,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.928812993,Female,36,Northeastern Region,6,1,Full time employment, , , , , 
663,11/04/2020 04:48,week 1,6,6,3, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Frequently,Always,Always,Frequently,Always,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Not at all,Not at all,Rarely,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.970043708,Male,35,Northern Region,3,1,Full time employment, , , , , 
664,11/04/2020 04:49,week 1,0,10,2, , , ,Yes,Somewhat easy,Very willing,Frequently,Always,Frequently,Always,Always,Frequently,Sometimes,Frequently,Frequently,Always,Frequently,Sometimes,Sometimes,Frequently,Frequently,Frequently,Always,Sometimes,Sometimes,Frequently,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.036761389,Male,37,Southern Region,5,1,Full time employment, , , , , 
665,11/04/2020 04:50,week 1,0,0,2, , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Frequently,Always,Always,Frequently,Sometimes,Sometimes, , ,Sometimes,Frequently,Frequently,Always,Frequently,Sometimes,Always,Frequently,Frequently,Frequently,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.955872322,Male,43,Northern Region,4,0,Unemployed, , , , , 
666,11/04/2020 04:50,week 1,2,0,0, , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Frequently,Always,Always,Always,Frequently,Frequently,Always, ,Sometimes,Always,Always,Always,Always,Frequently,Always,Sometimes,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.988586191,Female,28,Northeastern Region,3,0,Full time employment, , , , , 
667,11/04/2020 04:50,week 1,7,7,2, , , ,Yes,Very easy,Very willing,Always,Frequently,Frequently,Always,Always,Rarely,Not at all,Always,Not at all, ,Sometimes,Frequently,Always,Always,Always,Not at all,Not at all,Frequently,Sometimes,Frequently,3,No,No,No,No,No,No,No,No,No,No,Yes,No,No,?????????,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.978006987,Male,40,Northern Region,4,0,Full time employment, , , , , 
668,11/04/2020 04:52,week 1,10,5,3, , , ,No,Somewhat difficult,Somewhat willing,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not", ,No,No,No,No,No,Yes, ,0.988586191,Female,31,Northeastern Region,2,1,Full time employment, , , , , 
669,11/04/2020 04:56,week 1,2,5,2, , , ,Yes,Neither easy nor difficult,Very willing,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always, ,Always,Frequently,Always,Always,Always,Always,Frequently,Sometimes,Always,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.964602679,Female,20,Northeastern Region,4,2,Full time student, , , , , 
670,11/04/2020 04:56,week 1,20,0,0, , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Frequently,Frequently,Always,Frequently,Always, ,Always,Frequently,Frequently,Always,Always,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.880544128,Male,40,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),3,1,Other, , , , , 
671,11/04/2020 04:57,week 1,4,10,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,7,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.991007135,Female,25,Southern Region,5,0,Full time employment, , , , , 
