RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,region,household_size,household_children,employment_status,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
1252,28/04/2020 02:14,week 2,2,6,2, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested positive","Yes, and they tested positive",No,No,No,No,No,Yes, ,1.204343414,Female,24,Southern Region,5,Don't know,Full time employment,9,Not at all,Several days,Several days,Not at all
1253,28/04/2020 02:14,week 2,1,1,11, , , ,Not sure,Neither easy nor difficult,Neither willing nor unwilling,Rarely,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes, ,Sometimes,Frequently,Sometimes,Not at all,Not at all,Rarely,Frequently,Rarely,Rarely,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes, ,1.2251266,Male,20,Southern Region,3,1,Full time student,5,More than half the days,More than half the days,More than half the days,More than half the days
1254,28/04/2020 02:15,week 2,0,0,1, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Sometimes,Sometimes,Not at all,Frequently,Sometimes,Frequently,Always,Always,Always,Sometimes,Always,Frequently,Always,Frequently,10,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.881836435,Male,50,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),7,2,Full time employment,9,Not at all,Not at all,Several days,Not at all
1255,28/04/2020 02:15,week 2,0,0,0, , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always,Not at all,Frequently,Always,Sometimes,Frequently,Always,Always,Frequently,Not at all,Not at all,Always,Sometimes,8,No,No,No,No,No,No,Yes,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.974107993,Female,24,Northeastern Region,5,1,Full time employment,5,Not at all,Not at all,Not at all,Not at all
1256,28/04/2020 02:15,week 2,3,3,2, , , ,No,Somewhat difficult,Somewhat unwilling,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Always,Not at all,Sometimes,Sometimes,Frequently,Frequently,Frequently,Not at all,Not at all,Sometimes,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.047835935,Male,25,Central Region,4,1,Full time employment,6,Not at all,Not at all,Several days,Not at all
1257,28/04/2020 02:16,week 2,1,1,0, , , ,Yes,Somewhat easy,Somewhat willing,Always,Frequently,Frequently,Always,Always,Frequently,Frequently,Always,Always, ,Frequently,Frequently,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Always,10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.913968005,Female,31,Northeastern Region,4,0,Full time employment,5,Several days,Several days,Several days,Several days
1258,28/04/2020 02:16,week 2,5,400,2, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Rarely,Frequently,Always,Not at all, ,Sometimes,Not at all,Not at all,Not at all,Always,Frequently,Always,Always,Sometimes,Always,5,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.945032973,Female,32,Northern Region,2,0,Full time employment,7,Not at all,Not at all,Not at all,Not at all
1259,28/04/2020 02:16,week 2,0,0,1, , , ,No,Very easy,Very willing,Always,Frequently,Frequently,Always,Frequently,Frequently,Rarely,Always,Frequently,Frequently,Always,Frequently,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,5,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, ,1.137314187,Male,32,Northeastern Region,4,1,Full time employment,3,More than half the days,More than half the days,More than half the days,More than half the days
1260,28/04/2020 02:17,week 2,5,0,8, , , ,No,Neither easy nor difficult,Very unwilling,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Always,Always,Sometimes,Sometimes,Not at all,Not at all,Always,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.0518554,Female,32,Central Region,5,3,Part time employment,7,Several days,Not at all,Not at all,Not at all
1261,28/04/2020 02:17,week 2,0,2,2, , , ,No,Somewhat easy,Neither willing nor unwilling,Frequently,Frequently,Sometimes,Frequently,Always,Always,Sometimes,Always,Frequently, ,Always,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes, ,0.928032722,Female,20,Northeastern Region,4,0,Full time employment,10,Not at all,Not at all,More than half the days,More than half the days
1262,28/04/2020 02:18,week 2,3,100,1, , , ,Yes,Very easy,Very willing,Always,Frequently,Frequently,Always,Always,Sometimes,Always,Always,Not at all,Always,Always,Not at all,Frequently,Always,Always,Sometimes,Not at all,Sometimes,Frequently,Always,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,????????????????????,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.00210268,Female,30,Central Region,4,2,Full time employment,7,Several days,Several days,Several days,Not at all
1263,28/04/2020 02:21,week 2,3,10,1,No,Not at all,No,No,Somewhat easy,Very willing,Always,Always,Frequently,Always,Always,Always,Always,Always,Always, ,Frequently,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Always,Always,7,No,No,No,No,No,No,No,No,No,No,Yes,No,No,??????,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,0.878437706,Female,25,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),4,0,Full time employment,8,Several days,Several days,Several days,Several days
1264,28/04/2020 02:21,week 2,2,3,3, , , ,No,Neither easy nor difficult,Very willing,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,4,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.116673176,Female,41,Northeastern Region,8 or more,2,Full time employment,8,Several days,Several days,Several days,Several days
1265,28/04/2020 02:22,week 2,7,1,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always, ,Always,Frequently,Always,Always,Always,Always,Frequently,Sometimes,Always,Always,Always,9, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.065986916,Female,21,Northern Region,7,2,Full time student,6,More than half the days,Not at all,Not at all,Not at all
1266,28/04/2020 02:22,week 2,2,2,3, , , ,Yes,Neither easy nor difficult,Somewhat willing,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,5,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.248810566,Male,26,Southern Region,3,1,Full time employment,7,Not at all,Several days,Not at all,Not at all
1267,28/04/2020 02:22,week 2,3,2,2, , , ,Yes,Neither easy nor difficult,Somewhat unwilling,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Always,Frequently,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.000062761,Male,24,Central Region,3,1,Full time employment,5,Nearly every day,Nearly every day,Nearly every day,More than half the days
1268,28/04/2020 02:23,week 2,1,0,1, , , ,Yes,Somewhat difficult,Very willing,Always,Always,Always,Always,Always,Frequently,Frequently,Frequently,Not at all, ,Frequently,Sometimes,Frequently,Always,Frequently,Frequently,Not at all,Not at all,Frequently,Frequently,5,No,No,No,No,No,No,No,No,No,No,Yes,No,No,IT,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.874026241,Male,39,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),2,0,Full time employment,5,More than half the days,Nearly every day,More than half the days,Nearly every day
1269,28/04/2020 02:23,week 2,2,2,1, , , ,Yes,Somewhat easy,Somewhat willing,Frequently,Always,Frequently,Frequently,Sometimes,Sometimes,Always,Always, , ,Sometimes,Rarely,Frequently,Always,Frequently,Sometimes,Not at all,Sometimes,Not at all,Frequently,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.090281919,Female,30,Southern Region,3,0,Not working,7,Several days,Not at all,Not at all,Not at all
1270,28/04/2020 02:24,week 2,3,2,1, , , ,No,Neither easy nor difficult,Somewhat willing,Always,Always,Frequently,Always,Always,Sometimes,Always,Frequently, , ,Frequently,Frequently,Always,Always,Always,Sometimes,Frequently,Frequently,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.077863387,Male,64,Bangkok and Vicinity (with Nakhon Pathom and Samut Sakhon),3,0,Retired,5,Not at all,Not at all,Several days,Not at all
1271,28/04/2020 02:24,week 2,2,6,2, , , ,Not sure,Neither easy nor difficult,Not sure,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes, ,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No, ,Not sure,No,No,No,No,No,Yes, ,0.96502895,Female,28,Northern Region,Don't know,Prefer not to say,Full time employment,5,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say
1272,28/04/2020 02:25,week 2,3,3,1, , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Frequently,Sometimes,Frequently,Frequently,Sometimes,Frequently,Sometimes,Sometimes, , ,Rarely,Frequently,Frequently,Frequently,Sometimes,Sometimes,Always,Frequently,Not at all,Frequently,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.096817154,Female,19,Northeastern Region,3,0,Unemployed,5,More than half the days,More than half the days,More than half the days,More than half the days
