RecordNo,endtime,region,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,household_size,household_children,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
27,09/04/2020 14:21,Red River Delta,week 1,1,0,1,Yes,Frequently,Yes,No,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Sometimes,Always,Always,Not at all, ,Always,Always,Frequently,Always,Always,Sometimes,Always,Frequently,Always,Always,10,No,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,Yes,No,No,No,No,No,0.993325009,Female,24,3,0,Yes,Yes,No,No,No,No,No, , , , , 
28,09/04/2020 14:22,Red River Delta,week 1,6,5,1, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Frequently,Frequently,Always,Frequently,Always,Frequently,Always,Always,Always,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,5,No,No,No,No,No,No,No,No,No,No,Yes,No,No,?i làm,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.004869776,Female,29,7,2,Yes,No,No,No,No,No,No, , , , , 
29,09/04/2020 14:22,Red River Delta,week 1,2,3,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Frequently,Sometimes,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Frequently,Always,Frequently,7,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.983917035,Male,29,3,1,Yes,No,No,No,No,No,No, , , , , 
30,09/04/2020 14:24,Red River Delta,week 1,4,2,0, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Sometimes,Always, , ,Always,Always,Always,Frequently,Always,Sometimes,Always,Rarely,Always,Frequently,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.97261299,Male,20,4,0,No,No,Yes,No,No,No,No, , , , , 
31,09/04/2020 14:25,Southeast,week 1,4,0,0, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.993325009,Female,23,2,1,Yes,No,No,No,No,No,No, , , , , 
32,09/04/2020 14:25,Southeast,week 1,4,2,2, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Frequently,Always,Frequently,Always,Frequently,Always,Always,Always,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Always,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.993325009,Female,20,5,2,Yes,No,No,No,No,No,No, , , , , 
33,09/04/2020 14:28,Southeast,week 1,5,50,0, , , ,Yes,Somewhat difficult,Very willing,Always,Always,Always,Frequently,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,3,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.004869776,Female,32,3,1,Yes,No,No,No,No,No,No, , , , , 
34,09/04/2020 14:31,Red River Delta,week 1,1,1,1, , , ,No,Very easy,Very willing,Always,Frequently,Frequently,Always,Always,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Always,Frequently,Frequently,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.983917035,Male,27,5,1,Yes,No,No,No,No,No,No, , , , , 
35,09/04/2020 14:35,Southeast,week 1,3,0,1, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,Always,Always,Sometimes,Always,Sometimes,Always,Frequently,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.988315988,Male,39,4,2,Yes,No,No,No,No,No,No, , , , , 
36,09/04/2020 14:41,Red River Delta,week 1,5,0,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Sometimes,Sometimes,Always,Always,4,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.983917035,Male,33,6,1,Yes,No,No,No,No,No,No, , , , , 
