RecordNo,endtime,region,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,household_size,household_children,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
1466,04/05/2020 02:59,Southeast,week 2,6,0,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Frequently,Sometimes,Rarely,Always,Frequently,6,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.991604525,Female,36,4,2,Yes,No,No,No,No,No,No,8,Several days,Not at all,Several days,Not at all
1467,29/04/2020 08:16,Southeast,week 2,4,6,1, , , ,Yes,Somewhat easy,Very willing,Frequently,Frequently,Sometimes,Always,Frequently,Sometimes,Frequently,Sometimes,Frequently,Frequently,Not at all,Frequently,Frequently,Frequently,Frequently,Sometimes,Rarely,Rarely,Sometimes,Frequently,3,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.960342741,Male,20,7,1,No,Yes,No,No,No,No,No,10,Not at all,Not at all,Not at all,Not at all
1468,29/04/2020 08:17,Southeast,week 2,5,10,2, , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Always,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Not at all, ,Always,Always,Sometimes,Frequently,Always,Always,Frequently,Not at all,Rarely,Sometimes,Sometimes,28, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.960342741,Male,20,5,1,No,No,Yes,No,No,No,No,6,More than half the days,Not at all,Several days,Not at all
1469,29/04/2020 08:18,Southeast,week 2,3,7,1,No,Always,No,Yes,Very easy,Very willing,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always, ,Always,Frequently,Frequently,Always,Always,Always,Always,Sometimes,Frequently,Frequently,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,0.989123313,Female,19,3,1,No,No,Yes,No,No,No,No,5,Nearly every day,Several days,Several days,Several days
1470,29/04/2020 08:23,North and South Central Coast,week 2,6,10,1, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Not at all,Not at all,Always,Always,15,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.989340103,Female,33,7,2,Yes,No,No,No,No,No,No,7,Several days,Not at all,Not at all,Several days
1471,29/04/2020 08:23,Southeast,week 2,3,1,0, , , ,No,Neither easy nor difficult,Somewhat unwilling,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes, , ,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,14, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.960553223,Male,27,3,0,No,No,No,No,Yes,No,No,5,More than half the days,More than half the days,More than half the days,More than half the days
1472,29/04/2020 08:24,Red River Delta,week 2,4,1,1, , , ,Yes,Neither easy nor difficult,Very willing,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Sometimes,Always,Always,Always,Always,Sometimes,Frequently,Always,Always,Always,20,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.989123313,Female,23,5,1,Yes,No,No,No,No,No,No,7,Several days,More than half the days,Several days,More than half the days
1473,29/04/2020 08:25,Red River Delta,week 2,100,80,3,No,Always,Yes,No,Very easy,Very willing,Always,Frequently,Always,Always,Frequently,Always,Always,Always,Always,Frequently,Frequently,Always,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently,Always,5,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,Yes,No,No,No,No,0.989340103,Female,33,5,1,Yes,No,No,No,No,No,No,3,Not at all,Not at all,Not at all,Not at all
1474,29/04/2020 08:26,North and South Central Coast,week 2,4,0,1, , , ,No,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,9,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.989340103,Female,33,4,2,Yes,No,No,No,No,No,No,6,Several days,Several days,Several days,Several days
1475,29/04/2020 08:27,North and South Central Coast,week 2,4,1,1, , , ,Yes,Neither easy nor difficult,Very willing,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always,Frequently, ,Frequently,Frequently,Always,Always,Always,Frequently,Frequently,Frequently,Sometimes,Frequently,5,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Cán b? công ch?c,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.989340103,Female,28,4,0,Yes,No,No,No,No,No,No,7,Several days,Not at all,Several days,Not at all
1476,29/04/2020 08:28,North and South Central Coast,week 2,2,30,3, , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Always,Not at all,Not at all,Frequently,Not at all,Not at all, , ,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Not at all,Not at all,Frequently,Not at all,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.960342741,Male,19,3,0,No,No,No,No,No,Yes,No,6,More than half the days,More than half the days,Nearly every day,Nearly every day
1477,29/04/2020 08:28,Red River Delta,week 2,4,5,3, , , ,Yes,Somewhat easy,Very willing,Frequently,Frequently,Frequently,Always,Always,Frequently,Frequently,Always,Sometimes,Always,Not at all,Frequently,Always,Always,Always,Frequently,Sometimes,Rarely,Frequently,Sometimes,5,No,No,No,No,No,No,No,No,No,No,Yes,No,No,C? quan,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.962751757,Male,40,4,2,Yes,No,No,No,No,No,No,8,Not at all,Not at all,Not at all,Not at all
1478,29/04/2020 08:29,Southeast,week 2,3,15,1, , , ,No,Somewhat easy,Very willing,Always,Always,Frequently,Always,Frequently,Always,Frequently,Always,Sometimes, ,Frequently,Always,Always,Frequently,Frequently,Frequently,Not at all,Not at all,Sometimes,Frequently,7,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.989340103,Female,25,4,0,Yes,No,No,No,No,No,No,7,Several days,Several days,Several days,Several days
1479,29/04/2020 08:32,Southeast,week 2,3,10,3, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Frequently,Frequently,Always,Always,Always,Always,Always, ,Rarely,Rarely,Frequently,Sometimes,Frequently,Sometimes,Always,Sometimes,Rarely,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.960553223,Male,27,4,0,Yes,No,No,No,No,No,No,8,More than half the days,More than half the days,Several days,Nearly every day
1480,29/04/2020 08:33,Southeast,week 2,3,5,1, , , ,No,Somewhat easy,Very willing,Always,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Not at all,Frequently,Frequently,6,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.989340103,Female,29,4,2,Yes,No,No,No,No,No,No,8,Not at all,Not at all,Several days,Not at all
1481,29/04/2020 08:34,Red River Delta,week 2,3,10,0, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Frequently, ,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Rarely,Frequently,Frequently,7,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.960553223,Male,30,4,0,No,Yes,No,No,No,No,No,6,More than half the days,Several days,Several days,Several days
1482,29/04/2020 08:36,North and South Central Coast,week 2,2,0,0, , , ,No,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,100,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.960342741,Male,23,Don't know,2,No,Yes,No,No,No,No,No,7,Several days,Prefer not to say,More than half the days,Nearly every day
1483,29/04/2020 08:36,North and South Central Coast,week 2,4,10,2, , , ,Not sure,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Sometimes,Sometimes,Always,Not at all,Sometimes,Sometimes,Frequently,Frequently,Frequently,Always,Sometimes,Sometimes,Sometimes,Always,Always,5,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.962751757,Male,38,4,1,Yes,No,No,No,No,No,No,7,Not at all,Several days,Not at all,Several days
1484,29/04/2020 08:37,Southeast,week 2,4,2,4, , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Always,Frequently,Always,Frequently,Frequently,Sometimes, ,Sometimes,Always,Always,Always,Always,Sometimes,Sometimes,Rarely,Always,Frequently,10,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.991604525,Female,37,6,0,Yes,No,No,No,No,No,No,7,Several days,Several days,Several days,Not at all
1485,29/04/2020 08:37,Red River Delta,week 2,4,15,2, , , ,Yes,Somewhat easy,Very willing,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,4,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.960553223,Male,29,4,1,Yes,No,No,No,No,No,No,8,Several days,Several days,Several days,Several days
1486,29/04/2020 08:37,Central Highlands,week 2,1,1,17, , , ,No,Very easy,Very willing,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently, ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.960342741,Male,22,Prefer not to say,0,Yes,No,No,No,No,No,No,6,Nearly every day,Nearly every day,Prefer not to say,Nearly every day
1487,29/04/2020 08:37,Northern Midlands and Mountains,week 2,3,30,3, , , ,Yes,Neither easy nor difficult,Very willing,Frequently,Always,Always,Always,Frequently,Always,Frequently,Always,Frequently,Always,Always,Always,Frequently,Frequently,Frequently,Sometimes,Frequently,Not at all,Frequently,Always,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.962751757,Male,40,3,1,Yes,No,No,No,No,No,No,5,Several days,Several days,Not at all,Not at all
1488,29/04/2020 08:39,Red River Delta,week 2,2,1,1, , , ,Not sure,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested positive","Yes, and they tested negative", , , , , , , ,0.960553223,Male,27,Prefer not to say,0,Yes,No,No,No,No,No,No,10,Several days,Several days,Several days,Several days
1489,29/04/2020 08:40,Southeast,week 2,2,1,5,Yes,Always,No,Yes,Very easy,Very willing,Frequently,Frequently,Always,Always,Frequently,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always,Always,Frequently,Frequently,Always,Frequently,Always,Always,20,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"Yes, and I tested negative","Yes, and they tested negative",Yes,Yes,No,No,No,No,Yes,0.960553223,Male,31,3,1,Yes,No,No,No,No,No,No,10,Several days,Several days,Not at all,Several days
1490,29/04/2020 08:43,Southeast,week 2,8,20,3, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Frequently,Always,Always,Sometimes,Always,Always, ,Always,Not at all,Frequently,Always,Always,Always,Sometimes,Always,Rarely,Always,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.989123313,Female,21,4,2,No,No,No,Yes,No,No,No,7,Not at all,Not at all,Not at all,Not at all
1491,29/04/2020 08:45,Red River Delta,week 2,4,20,2, , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Always,Always,Sometimes,Sometimes,Always,Sometimes, ,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Rarely,Frequently,Frequently,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.960553223,Male,26,4,0,Yes,No,No,No,No,No,No,5,Not at all,Several days,Several days,Several days
1492,29/04/2020 08:46,Red River Delta,week 2,4,0,2, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Always,Always,Always,Always,Always,Frequently,Frequently,Rarely,Always,Frequently,10,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.989123313,Female,20,7,1,No,Yes,No,No,No,No,No,6,Several days,Several days,Several days,Several days
1493,29/04/2020 08:46,Southeast,week 2,3,2,1, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Frequently,Always,Frequently,Frequently,Always,Always,Not at all,Always,Frequently,Rarely,Frequently,Always,Always,Frequently,Not at all,Not at all,Frequently,Always,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,làm vi?c v?n phòng,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.204605914,Female,49,4,1,Yes,No,No,No,No,No,No,7,Several days,Not at all,Several days,Several days
1494,29/04/2020 08:47,Southeast,week 2,4,10,1, , , ,Yes,Neither easy nor difficult,Very willing,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Always, , ,Sometimes,Sometimes,Frequently,Always,Frequently,Sometimes,Always,Sometimes,Sometimes,Frequently,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.960553223,Male,27,2,0,No,No,No,No,Yes,No,No,4,Several days,Several days,Not at all,Several days
1495,29/04/2020 08:47,Southeast,week 2,0,10,4, , , ,Yes,Very easy,Very willing,Always,Frequently,Always,Frequently,Always,Frequently,Frequently,Always, , ,Sometimes,Always,Always,Always,Frequently,Rarely,Rarely,Always,Frequently,Sometimes,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.960553223,Male,25,1,0,No,No,No,No,Yes,No,No,7,Not at all,Not at all,Not at all,Not at all
1496,29/04/2020 08:48,Red River Delta,week 2,2,5,2, , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Frequently,Frequently,Frequently,Always,Frequently, ,Frequently,Frequently,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.989340103,Female,28,4,0,Yes,No,No,No,No,No,No,7,Several days,Several days,Several days,Several days
1497,29/04/2020 08:50,Red River Delta,week 2,15,50,2, , , ,No,Neither easy nor difficult,Very willing,Always,Sometimes,Sometimes,Always,Rarely,Sometimes,Not at all,Frequently,Frequently, ,Rarely,Frequently,Always,Always,Frequently,Sometimes,Rarely,Rarely,Sometimes,Frequently,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.989340103,Female,29,2,0,Yes,No,No,No,No,No,No,6,More than half the days,More than half the days,Nearly every day,Several days
1498,29/04/2020 08:51,Southeast,week 2,2,2,0, , , ,No,Somewhat difficult,Neither willing nor unwilling,Always,Always,Rarely,Always,Always,Sometimes,Sometimes,Always,Always, ,Rarely,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,200,No,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested negative","No, they have not",No,No,No,No,No,Yes, ,0.960342741,Male,22,2,0,Yes,No,No,No,No,No,No,5,Nearly every day,Nearly every day,More than half the days,Nearly every day
1499,29/04/2020 08:52,Southeast,week 2,6,0,0, , , ,Not sure,Somewhat easy,Very willing,Always,Frequently,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Not at all,Frequently,Always,Always,Always,Not at all,Not at all,Frequently,Always,4,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.22217232,Male,55,7,1,Yes,No,No,No,No,No,No,6,Several days,Not at all,More than half the days,Nearly every day
1500,29/04/2020 08:54,Southeast,week 2,2,10,2, , , ,Yes,Somewhat difficult,Somewhat willing,Always,Frequently,Frequently,Frequently,Not at all,Frequently,Sometimes,Frequently, , ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Not at all,Sometimes,Frequently,10, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.204605914,Female,47,3,0,No,No,No,No,Yes,No,No,7,Not at all,Not at all,Not at all,Not at all
1501,29/04/2020 08:55,Red River Delta,week 2,3,7,5, , , ,Yes,Very easy,Somewhat willing,Frequently,Always,Always,Always,Frequently,Frequently,Always,Sometimes,Sometimes, ,Sometimes,Rarely,Always,Frequently,Frequently,Sometimes,Sometimes,Rarely,Frequently,Frequently,4,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.960553223,Male,26,3,0,No,Yes,No,No,No,No,Yes,8,More than half the days,Several days,More than half the days,Not at all
1502,29/04/2020 08:55,Southeast,week 2,0,0,0, , , ,No,Somewhat easy,Very willing,Frequently,Rarely,Not at all,Not at all,Frequently,Not at all,Always,Rarely,Rarely, ,Not at all,Not at all,Not at all,Not at all,Sometimes,Rarely,Not at all,Not at all,Rarely,Not at all,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.22217232,Male,66,2,0,No,Yes,No,No,No,No,No,5,Several days,Several days,Several days,Several days
1503,29/04/2020 08:56,Red River Delta,week 2,10,60,2, , , ,No,Somewhat easy,Somewhat willing,Frequently,Sometimes,Sometimes,Rarely,Rarely,Frequently,Sometimes,Sometimes,Sometimes, ,Sometimes,Frequently,Not at all,Always,Rarely,Rarely,Rarely,Frequently,Always,Frequently,2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.989340103,Female,29,1,0,Yes,No,No,No,No,No,No,6,Nearly every day,Several days,More than half the days,More than half the days
1504,29/04/2020 08:56,Southeast,week 2,2,2,2, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not",Not sure,No,No,No,No,No,Yes, ,0.989123313,Female,23,4,1,No,Yes,No,No,No,No,No,6,Nearly every day,Nearly every day,Nearly every day,Nearly every day
1505,29/04/2020 08:57,Southeast,week 2,2,50,4, , , ,Yes,Somewhat difficult,Very willing,Frequently,Frequently,Sometimes,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Frequently,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.962751757,Male,38,3,1,Yes,No,No,No,No,No,No,7,Several days,Several days,Several days,Several days
1506,29/04/2020 09:00,Southeast,week 2,2,2,1, , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Yes, and I tested negative","Yes, and they tested negative",No,No,No,No,No,Yes, ,0.960342741,Male,21,Don't know,0,No,No,No,No,No,No,Yes,10,Not at all,Not at all,Not at all,Not at all
1507,29/04/2020 09:01,Northern Midlands and Mountains,week 2,4,3,1, , , ,Not sure,Somewhat easy,Very willing,Always,Frequently,Frequently,Always,Always,Frequently,Frequently,Always, ,Always,Always,Always,Always,Always,Frequently,Rarely,Frequently,Rarely,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.989123313,Female,18,5,1,No,No,Yes,No,No,No,No,7,Not at all,Several days,Several days,Several days
1508,29/04/2020 09:01,Southeast,week 2,5,50,5, , , ,No,Somewhat easy,Very willing,Always,Always,Frequently,Always,Sometimes,Sometimes,Always,Always,Rarely, ,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Rarely,Rarely,Frequently,Frequently,7,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.960553223,Male,30,5,0,Yes,No,No,No,No,No,No,8,Nearly every day,Not at all,Not at all,Not at all
1509,29/04/2020 09:01,Southeast,week 2,5,0,1, , , ,Yes,Very easy,Very willing,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Rarely,Always,Frequently, ,Sometimes,Sometimes,Frequently,Frequently,Frequently,Rarely,Frequently,Sometimes,Frequently,Frequently,15,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes, ,"No, they have not",No,No,No,No,No,Yes, ,0.960342741,Male,22,Prefer not to say,Prefer not to say,Yes,No,No,No,No,No,No,7,Nearly every day,More than half the days,More than half the days,Several days
1510,29/04/2020 09:03,Southeast,week 2,6,20,3, , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Always,Always,Always,Sometimes,Always,Always,Rarely,Sometimes,Frequently,Sometimes,Frequently,Always,Always,Frequently,Always,Sometimes,Always,Always,100,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Toi van phing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.962751757,Male,35,4,2,Yes,No,No,No,No,No,No,8,Several days,Several days,Several days,Several days
1511,29/04/2020 09:04,North and South Central Coast,week 2,5,10,1, , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Frequently,Always,Frequently,Sometimes,Always,Frequently,Always,Frequently,Frequently,Frequently,Always,Always,Frequently,Always,Frequently,Frequently,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.960342741,Male,23,5,1,Yes,No,No,No,No,No,No,7,Not at all,Not at all,Not at all,Not at all
1512,29/04/2020 09:06,Red River Delta,week 2,4,5,3, , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Frequently,Always,Sometimes,Rarely,Always,Frequently, ,Sometimes,Sometimes,Frequently,Always,Frequently,Sometimes,Frequently,Frequently,Always,Sometimes,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.960553223,Male,29,4,0,No,Yes,No,No,No,No,No,5,Several days,Several days,Several days,Not at all
