caseid,endtime,qweek,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,House_rooms,sw_1_1,sw_1_2,sw_1_3,sw_1_4,sw_1_5,sw_1_6,sw_1_7,sw_1_8,sw_1_9,sw_1_10,sw_1_11,sw_1_12,sw_1_13,sw_1_14,sw_1_15,sw_1_98,sw_1_other,sw_2,i1_health,i2_health,i7a_health,weight,gender,age,region,household_size,household_children,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4
153,03/04/2020 15:48,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Frequently,Always,Frequently,Not at all,Not at all,Not at all,Always,Rarely,Not at all,Not at all,Not at all,Not at all,Rarely,Not at all,Rarely,Not at all,Rarely,Sometimes,25,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Three,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,__NA__,Yes,2,15,2,0.937839382,Female,33,Södra mellersta Sverige,3,1,Yes,No,No,No,No,No,No, , , , , 
154,03/04/2020 15:50,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Always,Not at all,Sometimes,Always,Sometimes,Not at all, ,Not at all,Frequently,Always,Always,Sometimes,Frequently,Not at all,Rarely,Rarely,Rarely,5,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Bibliotek,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,One,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,__NA__,Yes,0,150,2,0.972928862,Female,25,Norra Sverige,1,0,No,Yes,Yes,No,No,No,No, , , , , 
155,03/04/2020 15:51,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Always,Always,Always,Rarely,Frequently,Always,Not at all, ,Always,Sometimes,Sometimes,Sometimes,Frequently,Not at all,Not at all,Not at all,Frequently,Frequently,20,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Two,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,Yes,1,1,6,0.956456207,Female,26,"Skåne, Halland och Blekinge",2,0,Yes,No,No,No,No,No,No, , , , , 
156,03/04/2020 15:52,week 1,"No, I have not","No, they have not",Yes,No,No,No,Yes,No,Yes,Frequently,Yes,Yes,Yes,Neither easy nor difficult,Neither willing nor unwilling,Not at all,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Always,Always,Frequently,15,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Five,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,__NA__,Yes,4,4,4,0.937839382,Female,34,Södra mellersta Sverige,4,2,Yes,No,No,No,No,No,No, , , , , 
157,03/04/2020 15:53,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes, ,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Two,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,Yes,1,1,1,1.261669396,Male,27,Södra mellersta Sverige,2,0,Yes,No,No,No,No,No,No, , , , , 
158,03/04/2020 15:53,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Not at all,Frequently,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Always,Sometimes,Not at all,Not at all,Not at all,Not at all,Sometimes,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Three,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,Yes,2,50,2,0.96440918,Male,33,Södra mellersta Sverige,3,1,Yes,No,No,No,No,No,No, , , , , 
159,03/04/2020 15:54,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Not at all,Always,Always, , ,Always,Always,Always,Always,Always,Always,Not at all,Always,Sometimes,Not at all,10, , , , , , , , , , , , , ,__NA__,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Four,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,Yes,1,0,1,0.935406538,Male,73,Södra mellersta Sverige,2,0,No,No,No,Yes,No,No,No, , , , , 
160,03/04/2020 15:57,week 1,"No, I have not","No, they have not",Yes,No,No,No,No,No,Not sure,Frequently,No,No,Yes,Somewhat easy,Somewhat willing,Rarely,Always,Frequently,Frequently,Always,Frequently,Always,Frequently,Frequently, ,Always,Frequently,Frequently,Always,Always,Frequently,Frequently,Rarely,Frequently,Frequently,10,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Three,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,Yes,3,0,1,0.845442514,Female,27,Norra mellersta Sverige,4,0,No,Yes,No,No,No,No,No, , , , , 
161,03/04/2020 15:57,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Somewhat unwilling,Sometimes,Always,Sometimes,Frequently,Rarely,Rarely,Frequently,Rarely,Rarely,Not at all,Rarely,Rarely,Not at all,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,7,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Two,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,Yes,1,15,3,1.261669396,Male,26,Södra mellersta Sverige,2,1,Yes,No,No,No,No,No,No, , , , , 
162,03/04/2020 15:58,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Not sure,Not sure,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Frequently,70,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Eight,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,__NA__,Yes,3,1,1,0.937839382,Female,34,Södra mellersta Sverige,6,3,Yes,No,No,No,No,No,No, , , , , 
163,03/04/2020 16:00,week 1,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Frequently,No,No,Yes,Somewhat easy,Very willing,Not at all,Always,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Three,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,Yes,5,3,1,0.937839382,Female,32,Södra mellersta Sverige,3,1,Yes,No,No,No,No,No,No, , , , , 
164,03/04/2020 16:06,week 1,"No, I have not","No, they have not",No,No,No,No,Yes,No,No,Always,No,No,Yes,Somewhat easy,Very willing,Not at all,Always,Not at all,Always,Always,Sometimes,Always,Always, , ,Always,Frequently,Always,Always,Always,Frequently,Always,Always,Frequently,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Two,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,Yes,0,0,1,0.991289874,Male,71,Norra mellersta Sverige,1,0,No,No,No,Yes,No,No,No, , , , , 
165,03/04/2020 16:06,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Somewhat willing,Frequently,Frequently,Frequently,Frequently,Sometimes,Always,Sometimes,Always, , ,Frequently,Sometimes,Sometimes,Rarely,Always,Sometimes,Sometimes,Frequently,Frequently,Frequently,15, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Four,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,Yes,10,10,1,0.920037684,Male,70,Stockholm,2,0,No,No,No,Yes,No,No,No, , , , , 
166,03/04/2020 16:06,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Somewhat willing,Not at all,Always,Frequently,Always,Sometimes,Frequently,Always,Sometimes,Sometimes, ,Frequently,Frequently,Always,Always,Frequently,Sometimes,Always,Not at all,Always,Sometimes,12,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Hotell,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Two,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,__NA__,Yes,1,1,1,0.940043094,Female,28,Södra mellersta Sverige,2,0,Yes,No,No,No,No,No,No, , , , , 
167,03/04/2020 16:06,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Somewhat willing,Not at all,Always,Frequently,Always,Always,Rarely,Always,Always, , ,Frequently,Sometimes,Frequently,Frequently,Frequently,Rarely,Not at all,Always,Frequently,Frequently,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Five,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,0,3,2,0.935406538,Male,79,Södra mellersta Sverige,1,0,No,No,No,Yes,No,No,No, , , , , 
168,03/04/2020 16:08,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Sometimes,Always,Not at all,Rarely,Always,Not at all,Rarely, ,Always,Not at all,Not at all,Not at all,Sometimes,Rarely,Not at all,Always,Rarely,Frequently,20,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,One,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,__NA__,Yes,0,50,1,0.987938104,Female,29,Stockholm,1,0,Yes,No,No,No,No,No,No, , , , , 
169,03/04/2020 16:08,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Sometimes,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Three,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,Yes,1,0,1,0.935406538,Male,73,Södra mellersta Sverige,2,0,No,Yes,No,Yes,No,No,No, , , , , 
170,03/04/2020 16:11,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Always,Frequently,Frequently,Always,Rarely, , ,Rarely,Frequently,Always,Always,Always,Sometimes,Not at all,Not at all,Rarely,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,One,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,Yes,0,5,0,0.956456207,Female,22,"Skåne, Halland och Blekinge",1,0,No,No,Yes,No,No,No,No, , , , , 
171,03/04/2020 16:11,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat easy,Very willing,Not at all,Frequently,Not at all,Frequently,Not at all,Not at all,Not at all,Not at all,Not at all, ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Rarely,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,One,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,Yes,0,50,1,0.96440918,Male,34,Södra mellersta Sverige,1,0,Yes,No,No,No,No,No,No, , , , , 
172,03/04/2020 16:12,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Not at all,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Rarely,Not at all,Not at all,Not at all,Sometimes,Rarely,Not at all,Not at all,Sometimes,Sometimes,25,No,No,No,No,No,No,No,No,No,No,Yes,No,No,"Egenföretagare, massör",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Three,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,Yes,2,10,1,1.055578549,Female,51,Södra mellersta Sverige,3,1,Yes,No,No,No,No,No,No, , , , , 
173,03/04/2020 16:12,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Always,Always,Frequently,Always,Frequently,Always,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Three,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Promenader i naturen,Yes,0,0,0,0.897817864,Male,57,Norra mellersta Sverige,5,2,No,Yes,No,No,No,No,No, , , , , 
174,03/04/2020 16:14,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always,Sometimes,Frequently,Always,Frequently,Frequently,Always,Always,Frequently,Not at all,Always,Always,Always,8,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Three,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,__NA__,Yes,2,2,1,1.188284735,Female,51,"Skåne, Halland och Blekinge",3,1,Yes,No,No,No,No,No,No, , , , , 
175,03/04/2020 16:15,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat easy,Somewhat willing,Not at all,Frequently,Not at all,Frequently,Frequently,Not at all,Not at all,Always, , ,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Not at all,Sometimes,Sometimes,Frequently,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Five,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Begravning,Yes,1,5,1,0.920037684,Male,83,Stockholm,2,0,No,No,No,Yes,No,No,No, , , , , 
176,03/04/2020 16:15,week 1,"No, I have not","No, they have not", , , , , , , , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Frequently,Always,Always,Sometimes,Not at all,Always,Not at all, ,Not at all,Not at all,Not at all,Not at all,Frequently,Not at all,Not at all,Not at all,Frequently,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Two,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,__NA__,Yes,1,0,1,0.940043094,Female,24,Södra mellersta Sverige,2,0,No,Yes,No,No,No,No,No, , , , , 
177,03/04/2020 16:16,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Very difficult,Very willing,Not at all,Always,Frequently,Frequently,Always,Sometimes,Not at all,Frequently, ,Not at all,Frequently,Not at all,Not at all,Always,Sometimes,Sometimes,Not at all,Not at all,Not at all,Sometimes,10, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Six,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Skolan,Yes,4,20,2,0.987938104,Female,18,Stockholm,5,3,No,No,Yes,No,No,No,No, , , , , 
178,03/04/2020 16:17,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Not at all,Always,Always,Always,Always,Sometimes,Always,Always,Not at all,Not at all,Frequently,Sometimes,Frequently,Always,Frequently,Frequently,Not at all,Not at all,Frequently,Frequently,20,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Three,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,Yes,1,8,1,0.927667308,Female,52,Norra mellersta Sverige,2,1,Yes,No,No,No,No,No,No, , , , , 
179,03/04/2020 16:17,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Sometimes,Always,Always,Sometimes,Always,Always, ,Rarely,Always,Rarely,Rarely,Always,Always,Frequently,Always,Sometimes,Frequently,Frequently,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Five,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,__NA__,Yes,4,5,1,0.940043094,Female,18,Södra mellersta Sverige,5,2,No,No,Yes,No,No,No,No, , , , , 
180,03/04/2020 16:18,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Always,Always,Frequently,Always,Always, , ,Frequently,Sometimes,Always,Always,Frequently,Sometimes,Always,Always,Always,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Ten,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,Yes,1,1,1,0.943618002,Male,27,Norra Sverige,2,0,No,No,Yes,No,No,No,No, , , , , 
181,03/04/2020 16:19,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always, , ,Frequently,Rarely,Always,Always,Frequently,Frequently,Always,Always,Sometimes,Sometimes,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Two,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,__NA__,Yes,0,3,1,0.935406538,Male,64,Södra mellersta Sverige,1,0,No,No,No,Yes,No,No,No, , , , , 
182,03/04/2020 16:20,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Not at all,Always,Sometimes,Frequently,Not at all,Sometimes,Not at all,Sometimes,Not at all, ,Not at all,Sometimes,Not at all,Not at all,Frequently,Frequently,Not at all,Not at all,Not at all,Sometimes,7,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Four,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,__NA__,Yes,0,100,1,0.96440918,Male,34,Södra mellersta Sverige,1,0,Yes,No,No,No,No,No,No, , , , , 
183,03/04/2020 16:20,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Sometimes,Always,Always,Frequently,Frequently,Always, , ,Always,Frequently,Always,Always,Always,Frequently,Always,Sometimes,Frequently,Always,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Three,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Lånat böcker på biblioteket,Yes,2,0,0,0.937839382,Female,33,Södra mellersta Sverige,3,0,No,No,Yes,No,No,No,No, , , , , 
184,03/04/2020 16:21,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Very easy,Very willing,Not at all,Always,Sometimes,Always,Always,Rarely,Always,Frequently,Not at all, ,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Not at all,Not at all,Not at all,Always,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Four,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,Yes,1,200,4,1.098208644,Male,34,Stockholm,2,0,Yes,No,No,No,No,No,No, , , , , 
185,03/04/2020 16:21,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Not at all,Always,Always,Frequently,Always,Always,Not at all, ,Always,Frequently,Always,Always,Frequently,Frequently,Always,Not at all,Sometimes,Frequently,10,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Five,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,Yes,1,10,1,0.977381909,Male,45,Södra mellersta Sverige,2,0,Yes,No,No,No,No,No,No, , , , , 
186,03/04/2020 16:21,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Very easy,Somewhat unwilling,Not at all,Frequently,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,6,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,More than ten,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,__NA__,Yes,6,10,2,0.937839382,Female,34,Södra mellersta Sverige,7,5 or more,Yes,No,No,No,No,No,No, , , , , 
187,03/04/2020 16:22,week 1,"Yes, and I tested negative","Yes, and they tested negative",No,Yes,Yes,No,No,No,Yes,Sometimes,Yes,No,Yes,Somewhat difficult,Somewhat willing,Sometimes,Sometimes,Rarely,Frequently,Sometimes,Sometimes,Sometimes,Rarely,Frequently,Frequently,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Frequently,Rarely,Sometimes,Always,15,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Six,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,__NA__,Yes,2,25,1,1.098208644,Male,33,Stockholm,5,3,No,Yes,No,No,No,No,No, , , , , 
188,03/04/2020 16:23,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Not at all,Always,Always,Sometimes,Always,Always,Not at all, ,Frequently,Sometimes,Frequently,Frequently,Frequently,Rarely,Always,Not at all,Sometimes,Sometimes,10,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Two,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,__NA__,Yes,0,20,2,0.923185984,Male,58,Södra mellersta Sverige,1,0,Yes,No,No,No,No,No,No, , , , , 
189,03/04/2020 16:23,week 1,"No, I have not","No, they have not",Yes,No,No,No,Yes,No,No,Frequently,No,No,Yes,Very easy,Somewhat willing,Not at all,Always,Always,Always,Always,Sometimes,Always,Always,Frequently,Frequently,Always,Sometimes,Frequently,Always,Frequently,Frequently,Not at all,Not at all,Frequently,Always,10,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Seven,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,__NA__,Yes,3,4,0,0.845442514,Female,28,Norra mellersta Sverige,4,2,Yes,No,No,No,No,No,No, , , , , 
190,03/04/2020 16:24,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Frequently,Always,Always,Sometimes,Always,Always,Not at all, ,Always,Frequently,Always,Always,Always,Sometimes,Always,Not at all,Not at all,Always,12,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Five,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,__NA__,Yes,1,15,2,0.974959941,Female,65,Södra mellersta Sverige,2,0,Yes,No,No,No,No,No,No, , , , , 
191,03/04/2020 16:25,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Always,Always,Always,Frequently,Always,Always,Not at all,Frequently,Always,Always,Frequently,Frequently,Frequently,Sometimes,Not at all,Rarely,Not at all,Frequently,20,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Six,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,__NA__,Yes,3,15,3,0.950854222,Female,35,Norra mellersta Sverige,4,2,Yes,No,No,No,No,No,No, , , , , 
192,03/04/2020 16:25,week 1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Not at all,Always,Sometimes,Always,Always,Rarely,Always,Always, , ,Always,Sometimes,Always,Always,Always,Frequently,Not at all,Always,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Three,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,Yes,1,3,1,0.967820397,Male,61,"Skåne, Halland och Blekinge",2,0,No,No,No,Yes,No,No,No, , , , , 
193,03/04/2020 16:25,week 1,"No, I have not","No, they have not",No,No,No,No,Yes,No,No,Sometimes,No,No,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Always,Always,Always,Frequently,Not at all,Not at all,Sometimes,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Not at all,Not at all,Sometimes,Always,5,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Three,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,__NA__,Yes,4,6,2,0.937839382,Female,31,Södra mellersta Sverige,4,2,Yes,No,No,No,No,No,No, , , , , 
