RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i5a_health,i6_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i7b_health,weight,gender,age,region,household_size,household_children,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,m1_1,m1_2,m1_3,m1_4,m2,m3,m4_1,m4_2,m4_3,m4_4,m4_96,m4_99,m4_other,m5_1,m5_2,m6_1,m6_2,m6_3,m6_4,m6_5,m6_6,m6_7,m6_8,m6_96,m6_other,m7_1,m7_2,m7_3,m7_4,m7_5,m7_6,m7_8,m7_9,m7_10,m7_11,m8_1,m8_2,m8_3,m8_4,m8_5,m8_6,m8_7,m8_8,m8_96,m8_99,m8_other,m9_1,m9_2,m9_3,m9_4,m9_5,m9_6,m9_7,m10,m11,m12_1,m12_2,m12_3,m12_4,m12_5,m12_6,m12_7,m12_8,m12_96,m12_99,m12_other,m13_1,m13_2,m13_3,m13_4,m13_5,m13_6,m13_8,m13_9,m13_10,m13_11,v1,v2_1,v2_2,v2_3,v2_4,v2_5,v2_99,v3,v3_open,v4_1,v4_2,v4_3,v4_4,v4_5,v4_96,v4_99,v3_other
2314,14/05/2020 01:38,week 3,5,20,1,No,Always,No,No,Very easy,Very willing,Always,Frequently,Frequently,Frequently,Always,Sometimes,Frequently,Frequently,Not at all,Not at all,Rarely,Rarely,Sometimes,Frequently,Frequently,Not at all,Always,Not at all,Rarely,Frequently,8,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,1.004705121,Male,36,Taoyuan City,5,1,Yes,No,No,No,No,No,No,5,Several days,Several days,Several days,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2315,14/05/2020 01:38,week 3,1,1,2, , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,7,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.987021721,Female,42,Hsinchu City,2,0,Yes,No,No,No,No,No,No,8,Not at all,Several days,Several days,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2316,14/05/2020 01:39,week 3,6,10,1, , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.991796761,Male,25,New Taipei City,6,0,Yes,No,No,No,No,No,No,5,Not at all,Not at all,Not at all,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2317,14/05/2020 01:39,week 3,5,3,1, , , ,Not sure,Somewhat difficult,Neither willing nor unwilling,Always,Always,Sometimes,Always,Always,Sometimes,Frequently,Always, ,Not at all,Always,Always,Always,Always,Always,Sometimes,Not at all,Frequently,Always,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.10822665,Male,64,New Taipei City,7,2,No,No,No,Yes,No,No,No,6,Several days,More than half the days,Nearly every day,More than half the days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2318,14/05/2020 01:39,week 3,3,16,1, , , ,No,Somewhat easy,Very willing,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Rarely, , ,Rarely,Rarely,Sometimes,Not at all,Rarely,Sometimes,Frequently,Not at all,Sometimes,Not at all,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.10822665,Male,70,Tainan City,2,0,No,No,No,Yes,No,No,No,7,Not at all,Not at all,Not at all,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2319,14/05/2020 01:39,week 3,2,0,1, , , ,No,Somewhat difficult,Neither willing nor unwilling,Always,Always,Frequently,Frequently,Always,Always,Sometimes,Always, , ,Always,Rarely,Rarely,Always,Frequently,Frequently,Frequently,Rarely,Frequently,Always,9, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.984823639,Female,22,Taipei City,3,0,No,No,Yes,No,No,No,No,7,Not at all,Not at all,Not at all,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2320,14/05/2020 01:40,week 3,3,15,2, , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Always,Always,Sometimes,Always,Frequently, ,Not at all,Frequently,Sometimes,Frequently,Always,Frequently,Frequently,Sometimes,Sometimes,Always,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.002467659,Male,21,New Taipei City,4,1,No,No,Yes,No,No,No,No,5,Several days,Not at all,More than half the days,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2321,14/05/2020 01:41,week 3,6,15,2, , , ,No,Somewhat easy,Very willing,Frequently,Always,Always,Always,Always,Frequently,Always,Frequently,Sometimes, ,Frequently,Frequently,Always,Always,Always,Always,Rarely,Sometimes,Frequently,Frequently,3,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,__NA__,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.974340555,Female,30,Tainan City,5,0,Yes,No,No,No,No,No,No,3,Several days,Several days,Not at all,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2322,14/05/2020 01:42,week 3,2,10,1, , , ,No,Somewhat easy,Very willing,Always,Rarely,Sometimes,Always,Always,Rarely,Always,Always,Rarely, ,Rarely,Rarely,Always,Always,Always,Rarely,Always,Rarely,Rarely,Always,2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.974340555,Female,25,Changhua County,5,0,No,Yes,No,No,No,No,No,4,Not at all,Not at all,Several days,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2323,14/05/2020 01:42,week 3,1,1,1,Yes,Frequently,Not sure,No,Very difficult,Somewhat willing,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently, ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,1,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,"Yes, and I tested negative","Yes, and they tested positive",No,No,No,No,Yes,No, ,0.999235929,Male,47,Changhua County,5,0,No,Yes,No,No,No,No,No,9,Several days,Several days,Several days,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2324,14/05/2020 01:42,week 3,3,10,2, , , ,No,Somewhat difficult,Somewhat unwilling,Always,Always,Always,Frequently,Always,Always,Rarely,Always,Frequently, ,Always,Always,Always,Always,Always,Sometimes,Sometimes,Rarely,Sometimes,Rarely,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.999235929,Male,52,New Taipei City,4,0,Yes,No,No,No,No,No,No,6,Several days,Several days,Several days,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2325,14/05/2020 01:42,week 3,3,23,5, , , ,No,Very difficult,Very unwilling,Sometimes,Rarely,Not at all,Always,Not at all,Sometimes,Not at all,Always,Not at all,Not at all,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,0,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.984823639,Female,22,Taipei City,5,2,Yes,No,No,No,No,No,No,6,Not at all,Not at all,Not at all,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2326,14/05/2020 01:43,week 3,2,1,1, , , ,No,Very easy,Very willing,Always,Always,Rarely,Always,Always,Always,Always,Always,Not at all, ,Always,Always,Always,Always,Always,Sometimes,Not at all,Rarely,Sometimes,Always,3,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.999235929,Male,50,New Taipei City,2,0,Yes,No,No,No,No,No,No,3,Several days,Several days,Several days,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2327,14/05/2020 01:44,week 3,3,100,6, , , ,No,Somewhat difficult,Very willing,Always,Always,Always,Always,Always,Frequently,Frequently,Frequently,Sometimes,Sometimes,Always,Frequently,Always,Always,Always,Sometimes,Sometimes,Always,Frequently,Frequently,12,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.999235929,Male,45,Taichung City,4,2,Yes,No,No,No,No,No,No,5,More than half the days,Nearly every day,More than half the days,More than half the days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2328,14/05/2020 01:44,week 3,3,3,2, , , ,No,Very easy,Very willing,Always,Frequently,Always,Frequently,Frequently,Always,Always,Always, ,Always,Always,Frequently,Frequently,Frequently,Always,Always,Frequently,Frequently,Frequently,Always,5, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes, ,0.974340555,Female,34,New Taipei City,4,2,No,No,No,No,Yes,No,No,6,Not at all,Not at all,Several days,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2329,14/05/2020 01:45,week 3,0,0,0,No,Frequently,No,No,Somewhat easy,Somewhat willing,Frequently,Sometimes,Frequently,Sometimes,Frequently,Always,Always,Sometimes, , ,Frequently,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Always,Rarely,Frequently,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",Yes,Yes,Yes,Yes,Yes,No,No,0.984823639,Female,21,Taichung City,3,0,No,No,Yes,No,No,No,No,8,Several days,Several days,Several days,More than half the days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2330,14/05/2020 01:45,week 3,3,3,1,No,Not at all,Not sure,No,Somewhat easy,Somewhat willing,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Not at all,Not at all,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Not at all,Not at all,Not at all,Frequently,3,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,1.004705121,Male,42,New Taipei City,4,2,Yes,No,No,No,No,No,No,7,Several days,Several days,Not at all,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2331,14/05/2020 01:45,week 3,3,1,2, , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Sometimes,Always,Always,Frequently,Sometimes,Always, , ,Frequently,Sometimes,Frequently,Always,Always,Sometimes,Not at all,Not at all,Sometimes,Frequently,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.10822665,Male,71,Tainan City,3,0,No,No,No,Yes,No,No,Yes,7,Several days,Not at all,Not at all,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2332,14/05/2020 01:45,week 3,2,300,3, , , ,No,Somewhat difficult,Somewhat willing,Always,Sometimes,Sometimes,Always,Always,Not at all,Frequently,Always,Not at all,Not at all,Always,Always,Always,Always,Always,Rarely,Not at all,Always,Sometimes,Frequently,3,No,Yes,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.004705121,Male,44,Taichung City,5,1,Yes,Yes,No,No,No,No,No,1,Not at all,Not at all,More than half the days,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2333,14/05/2020 01:46,week 3,0,1,2, , , ,No,Somewhat difficult,Very willing,Always,Always,Frequently,Always,Always,Sometimes,Frequently,Always,Not at all,Not at all,Not at all,Not at all,Rarely,Frequently,Frequently,Sometimes,Not at all,Not at all,Sometimes,Always,3,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.974340555,Female,25,Taitung County,4,1,Yes,No,No,No,No,No,No,4,More than half the days,Several days,Several days,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2334,14/05/2020 01:46,week 3,2,4,4,Yes,Sometimes,Yes,No,Somewhat easy,Neither willing nor unwilling,Sometimes,Sometimes,Rarely,Always,Rarely,Sometimes,Frequently,Frequently, , ,Always,Sometimes,Rarely,Sometimes,Frequently,Sometimes,Frequently,Rarely,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",Yes,No,Yes,No,No,No,No,0.999235929,Male,46,Taichung City,3,0,No,No,No,Yes,No,Yes,No,6,Several days,Several days,Nearly every day,More than half the days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2335,14/05/2020 01:47,week 3,5,30,1, , , ,Not sure,Neither easy nor difficult,Somewhat willing,Always,Frequently,Always,Frequently,Sometimes,Frequently,Frequently,Rarely, ,Not at all,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Rarely,Rarely,Sometimes,Sometimes,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.984823639,Female,23,Keelung City,Prefer not to say,1,No,No,Yes,No,No,No,No,5,Prefer not to say,Prefer not to say,More than half the days,More than half the days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2336,14/05/2020 01:48,week 3,7,30,1, , , ,No,Somewhat easy,Somewhat willing,Sometimes,Always,Rarely,Always,Always,Rarely,Frequently,Not at all,Not at all,Not at all,Frequently,Rarely,Rarely,Rarely,Frequently,Rarely,Not at all,Not at all,Rarely,Rarely,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.987021721,Female,39,New Taipei City,3,1,Yes,No,No,No,No,No,No,6,Not at all,Several days,Several days,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2337,14/05/2020 01:48,week 3,7,3,1, , , ,No,Somewhat easy,Somewhat willing,Always,Always,Frequently,Always,Always,Always,Always,Always, ,Not at all,Always,Always,Always,Always,Always,Always,Always,Rarely,Always,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.984823639,Female,18,New Taipei City,6,1,No,No,Yes,No,No,No,No,8,Several days,Several days,Several days,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2338,14/05/2020 01:48,week 3,0,0,3, , , ,No,Very easy,Very willing,Sometimes,Frequently,Sometimes,Always,Rarely,Not at all,Frequently,Not at all,Always, ,Always,Always,Always,Always,Always,Not at all,Not at all,Not at all,Frequently,Not at all,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.999235929,Male,45,Tainan City,1,0,No,Yes,No,No,No,No,No,9,Not at all,Not at all,Not at all,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2339,14/05/2020 01:49,week 3,3,2,3, , , ,No,Very easy,Very willing,Always,Always,Sometimes,Always,Always,Sometimes,Frequently,Frequently,Always, ,Always,Always,Rarely,Rarely,Always,Sometimes,Always,Always,Always,Always,5,No,No,No,No,No,No,No,No,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.98164879,Female,50,Tainan City,2,0,No,Yes,No,No,No,No,No,9,Not at all,Not at all,Not at all,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2340,14/05/2020 01:49,week 3,5,4,2, , , ,No,Neither easy nor difficult,Somewhat willing,Sometimes,Frequently,Frequently,Always,Sometimes,Sometimes,Sometimes,Not at all,Sometimes, ,Sometimes,Always,Always,Always,Always,Sometimes,Not at all,Sometimes,Always,Sometimes,2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.991796761,Male,27,Kaohsiung City,5,0,Yes,No,No,No,No,No,No,2,More than half the days,More than half the days,More than half the days,More than half the days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2341,14/05/2020 01:50,week 3,1,0,1, , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Frequently, ,Frequently,Frequently,Frequently,Always,Always,Frequently,Rarely,Rarely,Frequently,Frequently,20,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.10822665,Male,58,Taipei City,4,0,Yes,No,No,No,No,No,No,6,Several days,Several days,Several days,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2342,14/05/2020 01:50,week 3,3,15,1, , , ,No,Somewhat easy,Somewhat willing,Sometimes,Frequently,Sometimes,Always,Frequently,Not at all,Sometimes,Rarely,Rarely,Not at all,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Rarely,Sometimes,Not at all,Sometimes,Frequently,2,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.991796761,Male,32,New Taipei City,4,1,Yes,No,No,No,No,No,No,6,Not at all,Not at all,Not at all,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2343,14/05/2020 01:51,week 3,2,60,1, , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Not at all,Not at all, ,Not at all,Always,Sometimes,Frequently,Always,Rarely,Not at all,Not at all,Frequently,Always,8,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,1.10822665,Male,62,Taipei City,3,0,Yes,No,No,No,No,No,No,6,Not at all,Not at all,Several days,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2344,14/05/2020 01:51,week 3,1,1,2,Not sure,Frequently,No,No,Somewhat difficult,Neither willing nor unwilling,Always,Always,Always,Always,Always,Frequently,Always,Always, ,Not at all,Always,Sometimes,Sometimes,Frequently,Always,Frequently,Not at all,Sometimes,Sometimes,Rarely,7, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,1.002467659,Male,21,Taoyuan City,2,1,No,No,Yes,No,No,No,No,5,Several days,Not at all,Several days,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2345,14/05/2020 01:52,week 3,2,20,3, , , ,Yes,Somewhat difficult,Somewhat willing,Always,Not at all,Sometimes,Always,Sometimes,Rarely,Always,Not at all,Rarely, ,Frequently,Not at all,Sometimes,Frequently,Rarely,Rarely,Rarely,Not at all,Rarely,Sometimes,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.984823639,Female,21,Taipei City,4,0,No,Yes,Yes,No,No,No,No,6,Several days,Several days,Not at all,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2346,14/05/2020 01:52,week 3,1,6,2, , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Always,Frequently,Sometimes,Always,Always,Not at all,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Sometimes,Always,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.984823639,Female,20,Taichung City,7,0,No,No,Yes,No,No,No,No,8,Several days,Several days,Not at all,Not at all, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2347,14/05/2020 01:54,week 3,2,5,1, , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Always,Sometimes,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Sometimes, ,Frequently,Sometimes,Frequently,Always,Sometimes,Rarely,Not at all,Not at all,Sometimes,Frequently,5,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"No, I have not","No, they have not",No,No,No,No,No,Yes, ,0.974340555,Female,33,New Taipei City,Prefer not to say,0,No,Yes,No,No,No,No,No,5,Nearly every day,More than half the days,Several days,Several days, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
