RecordNo,endtime,qweek,gender,region,region_recode,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5_health_98,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,profile_household_size,weight,age,household_size,household_children,employment_status
379,2020-04-04 04:50:04,week 1,Female,Ulsan metropolitan city,Gyeongsang,2,2,2,"No, I have not","No, they have not",No,Yes,No,No,No,No,No,No,Frequently,No,No,Yes,Somewhat easy,Somewhat willing,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently, ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,3,.935012542889,42,3,1,Not working
380,2020-04-04 04:50:07,week 1,Female,Incheon metropolitan city,Gyeonggi,3,13,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Frequently,Always,Always,Frequently,Frequently,Not at all,Not at all, ,Always,Sometimes,Sometimes,Sometimes,Always,Always,Always,Not at all,Sometimes,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,3,1.11440727043,42,3,0,Part time employment
381,2020-04-04 04:51:27,week 1,Male,Gwangju metropolitan city,Jeolla,3,3,5,"No, I have not",Not sure,Yes,No,No,No,No,No,No,No,Rarely,No,No,No,Very easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Frequently,Sometimes,Frequently, ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Always,Always,7,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,.697628906414,30,3,0,Full time employment
371,2020-04-04 04:23:06,week 1,Male,Gyeonggi Province,Gyeonggi,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Not sure,Not sure,Frequently,Always,Always,Rarely,Always,Always,Frequently,Frequently,Frequently,Always,Frequently,Always,Always,Always,Frequently,Always,Always,Frequently,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,.855498634964,46,2,2,Full time employment
382,2020-04-04 05:06:39,week 1,Female,Gyeonggi Province,Gyeonggi,1,10,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very difficult,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Always,Rarely, ,Always,Always,Always,Always,Frequently,Frequently,Not at all,Sometimes,Frequently,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,2,1.11161674226,30,2,0,Full time employment
383,2020-04-04 05:09:25,week 1,Male,Ulsan metropolitan city,Gyeongsang,2,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very difficult,Somewhat willing,Frequently,Always,Sometimes,Frequently,Frequently,Frequently,Always,Frequently,Rarely,Frequently,Always,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,.717782425996,50,3,1,Full time employment
384,2020-04-04 05:14:43,week 1,Male,Daegu metropolitan city,Gyeongsang,2,2,2,"Yes, and I tested positive","Yes, and they tested positive",No,No,No,No,No,Yes,No, , , , ,No,Very easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,.700990401419,28,2,0,Other
385,2020-04-04 05:15:39,week 1,Male,Gyeonggi Province,Gyeonggi,2,4,3,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Somewhat willing,Always,Frequently,Frequently,Always,Always,Frequently,Frequently,Frequently,Rarely,Sometimes,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,Not at all,Sometimes,Frequently,Frequently,3,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3,1.28751352192,59,3,3,Full time employment
386,2020-04-04 05:15:59,week 1,Female,Gyeonggi Province,Gyeonggi,4,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,1.10776729642,20,4,0,Full time student
387,2020-04-04 05:17:32,week 1,Female,Gyeonggi Province,Gyeonggi,4,6,1,"No, I have not","No, they have not",No,No,No,Yes,No,No,No,No,Not at all,No,No,No,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Rarely, , ,Always,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,30, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,4,1.13824520339,52,4,0,Not working
388,2020-04-04 05:20:39,week 1,Male,Seoul special city,Gyeonggi,100,100,3,"Yes, and I tested negative","Yes, and they tested negative",Yes,Yes,No,No,Yes,No,No,Yes,Always,Yes,Yes,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,4,.835484834705,34,4,2,Full time employment
389,2020-04-04 05:22:20,week 1,Male,South Gyeongsang Province,Gyeongsang,3,12,3,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Frequently,Always,Always,Always,Frequently,Always,Frequently,Frequently,Sometimes,Rarely,Sometimes,Frequently,Frequently,Always,Always,Sometimes,Frequently,Sometimes,Sometimes,Frequently,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.702750120744,37,4,2,Part time employment
390,2020-04-04 05:31:03,week 1,Female,Daegu metropolitan city,Gyeongsang,2,1,1,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,No,Always,No,No,Yes,Very easy,Very willing,Always,Always,Frequently,Always,Always,Always,Not at all,Always, , ,Not at all,Always,Not at all,Not at all,Always,Always,Always,Always,Sometimes,Always,2, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,3,1.43728140487,58,3,0,Retired
391,2020-04-04 05:40:01,week 1,Male,Seoul special city,Gyeonggi,3,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Frequently,2,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,5,.855498634964,54,5,3,Full time employment
392,2020-04-04 05:40:28,week 1,Female,Seoul special city,Gyeonggi,2,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Very difficult,Very willing,Always,Frequently,Always,Always,Always,Always,Frequently,Frequently,Not at all,Not at all,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Always,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,1.13824520339,53,3,1,Full time employment
393,2020-04-04 05:41:52,week 1,Male,Daejeon metropolitan city,Chungcheong,2,4,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very easy,Somewhat willing,Always,Always,Always,Frequently,Frequently,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Frequently,Always,Always,1,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5,.690763676955,19,5,1,Part time employment
394,2020-04-04 05:43:34,week 1,Female,Busan metropolitan city,Gyeongsang,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,12, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5,.935012542889,35,5,1,Full time student
395,2020-04-04 05:55:41,week 1,Female,Ulsan metropolitan city,Gyeongsang,5,4,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Always,Always,Always,Not at all,Rarely, ,Not at all,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Not at all,Always,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5,.929441456674,19,5,1,Not working
396,2020-04-04 06:02:00,week 1,Female,Incheon metropolitan city,Gyeonggi,2,100,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Rarely,Not at all, ,Always,Always,Always,Always,Always,Always,Not at all,Rarely,Rarely,Always,10,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,1.10776729642,22,3,0,Full time employment
397,2020-04-04 06:06:39,week 1,Female,Gyeonggi Province,Gyeonggi,8,35,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Sometimes,Frequently,Frequently, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,7,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,1.11161674226,26,4,0,Part time employment
398,2020-04-04 06:08:36,week 1,Male,Daejeon metropolitan city,Chungcheong,2,4,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Frequently,Frequently,Frequently, , ,Sometimes,Frequently,Frequently,Always,Frequently,Frequently,Not at all,Not at all,Always,Frequently,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,.690763676955,22,3,0,Full time student
399,2020-04-04 06:10:14,week 1,Male,Seoul special city,Gyeonggi,3,2,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Sometimes,Always,Frequently,Sometimes,Sometimes,Sometimes,Frequently, ,Always,Always,Always,Always,Sometimes,Frequently,Frequently,Sometimes,Frequently,Sometimes,3,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.835484834705,25,4,0,Full time employment
400,2020-04-04 06:18:08,week 1,Male,North Chungcheong Province,Chungcheong,1,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Frequently,Frequently,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Not at all,Not at all,Rarely,Frequently,5,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,__NA__,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,2,1.0681918489,65,2,2,Full time employment
401,2020-04-04 06:23:06,week 1,Male,Busan metropolitan city,Gyeongsang,0,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Rarely, ,Always,Always,Always,Always,Always,Always,Always,Sometimes,Sometimes,Always,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,.702750120744,35,1,0,Full time employment
402,2020-04-04 06:39:06,week 1,Male,Daejeon metropolitan city,Chungcheong,3,4,3,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,No,Sometimes,No,No,Yes,Somewhat easy,Somewhat willing,Always,Always,Frequently,Frequently,Sometimes,Always,Sometimes,Frequently,Rarely,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Not at all,Frequently,Sometimes,Frequently,5,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.694904124932,42,4,2,Full time employment
403,2020-04-04 06:40:26,week 1,Male,Incheon metropolitan city,Gyeonggi,3,10,1,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes,No, , , , ,No,Somewhat difficult,Somewhat unwilling,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Sometimes, ,Always,Frequently,Sometimes,Always,Frequently,Sometimes,Sometimes,Frequently,Frequently,Frequently,15,No,No,No,No,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,4,1.28751352192,57,4,0,Full time employment
404,2020-04-04 06:41:31,week 1,Male,Seoul special city,Gyeonggi,2,2,3,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Not sure,Neither easy nor difficult,Somewhat willing,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently, ,Frequently,Rarely,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Frequently,6,No,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,.835484834705,28,3,0,Full time employment
405,2020-04-04 06:42:15,week 1,Male,Daegu metropolitan city,Gyeongsang,0,0,2,"Yes, and I tested negative","Yes, and they tested negative",No,Yes,Yes,No,Yes,No,No,Yes,Frequently,Yes,Yes,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,5,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,1,.717782425996,47,1,0,Full time employment
406,2020-04-04 06:45:14,week 1,Female,Busan metropolitan city,Gyeongsang,3,1,0,Prefer not to say,Prefer not to say,No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Frequently,Always,Always,Frequently,Frequently,Frequently,Frequently, , ,Always,Not at all,Not at all,Not at all,Always,Frequently,Always,Always,Frequently,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.929441456674,24,4,Prefer not to say,Not working
407,2020-04-04 06:50:37,week 1,Female,Seoul special city,Gyeonggi,2,4,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very easy,Very unwilling,Always,Always,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,1.11161674226,34,4,2,Full time employment
408,2020-04-04 06:51:39,week 1,Female,Seoul special city,Gyeonggi,1,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat easy,Somewhat willing,Frequently,Frequently,Always,Frequently,Not at all,Frequently,Frequently,Always, , ,Sometimes,Sometimes,Sometimes,Sometimes,Always,Not at all,Not at all,Sometimes,Frequently,Sometimes,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,1.13824520339,45,1,0,Not working
409,2020-04-04 07:05:36,week 1,Male,South Jeolla Province,Jeolla,2,13,4,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Yes,Not at all,No,No,Yes,Very easy,Very willing,Frequently,Frequently,Sometimes,Always,Frequently,Always,Always,Always,Frequently,Frequently,Always,Frequently,Always,Always,Always,Sometimes,Not at all,Sometimes,Frequently,Always,4,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,.714340407339,54,3,1,Full time employment
410,2020-04-04 07:11:14,week 1,Male,North Jeolla Province,Jeolla,3,30,3,"No, I have not","No, they have not",Yes,Yes,No,No,No,No,No,Yes,Sometimes,No,No,No,Neither easy nor difficult,Somewhat willing,Frequently,Always,Rarely,Sometimes,Sometimes,Frequently,Not at all,Frequently,Not at all,Rarely,Always,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Always,Sometimes,Not at all,Not at all,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,3,.697628906414,26,3,2,Full time employment
411,2020-04-04 07:11:25,week 1,Female,Incheon metropolitan city,Gyeonggi,6,6,5,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",Yes,Yes,No,No,No,No,No,Not sure,Frequently,Yes,No,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Frequently,Always,Rarely,Frequently,Sometimes,Always,Frequently,Always,Frequently,Frequently,Always,Frequently,Rarely,Sometimes,Frequently,Frequently,5,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,5,1.10776729642,24,5,4,Part time employment
412,2020-04-04 07:17:06,week 1,Female,South Chungcheong Province,Chungcheong,4,4,3,"No, I have not",Not sure,No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Frequently,Frequently,Always,Always,Not at all,Always,Frequently,Always,Always,Frequently,Frequently,Frequently,Not at all,Sometimes,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.924573406304,36,4,2,Full time employment
413,2020-04-04 07:17:24,week 1,Male,Gyeonggi Province,Gyeonggi,5,5,4,Prefer not to say,"Yes, and they have not received their results from the test yet",No,No,No,No,No,Yes,No, , , , ,Not sure,Very difficult,Neither willing nor unwilling,Sometimes,Rarely,Frequently,Rarely,Always,Sometimes,Rarely,Sometimes, ,Sometimes,Not at all,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Not at all,Frequently,222, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,8 or more,.837582179841,44,8 or more,4,Retired
414,2020-04-04 07:28:49,week 1,Male,Busan metropolitan city,Gyeongsang,3,7,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Sometimes,Always,Frequently,Sometimes,Frequently,Always,Sometimes, ,Always,Always,Always,Always,Frequently,Sometimes,Always,Sometimes,Sometimes,Sometimes,6,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,.702750120744,38,3,0,Part time employment
415,2020-04-04 07:37:43,week 1,Female,Busan metropolitan city,Gyeongsang,0,20,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat difficult,Very willing,Always,Frequently,Frequently,Always,Sometimes,Frequently,Not at all,Not at all,Not at all, ,Always,Rarely,Not at all,Not at all,Frequently,Sometimes,Not at all,Frequently,Rarely,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,.932671227545,32,1,0,Full time employment
416,2020-04-04 07:42:11,week 1,Male,Seoul special city,Gyeonggi,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Sometimes,Frequently,Always,Always,Always,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Always,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5,.835484834705,25,5,1,Full time employment
417,2020-04-04 07:44:24,week 1,Male,Gwangju metropolitan city,Jeolla,2,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Somewhat willing,Always,Always,Always,Always,Frequently,Frequently,Frequently,Rarely,Not at all,Always,Rarely,Frequently,Rarely,Frequently,Frequently,Rarely,Rarely,Frequently,Frequently,Frequently,9,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.695213069564,22,4,1,Full time employment
418,2020-04-04 07:49:00,week 1,Female,North Jeolla Province,Jeolla,1,4,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Always,Always,Always,Frequently,Always,Not at all,Not at all, ,Always,Frequently,Always,Always,Frequently,Not at all,Frequently,Not at all,Sometimes,Not at all,10,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.930528829579,38,4,0,Full time employment
419,2020-04-04 07:51:38,week 1,Male,Gwangju metropolitan city,Jeolla,1,4,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Very willing,Always,Always,Frequently,Always,Always,Always,Frequently,Always, , ,Always,Always,Always,Always,Frequently,Sometimes,Always,Frequently,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,3,.714340407339,48,3,0,Not working
420,2020-04-04 07:59:15,week 1,Male,Daejeon metropolitan city,Chungcheong,6,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Not sure,Somewhat difficult,Very willing,Always,Frequently,Not at all,Frequently,Not at all,Frequently,Not at all,Not at all, , ,Frequently,Not at all,Not at all,Not at all,Frequently,Sometimes,Not at all,Not at all,Not at all,Frequently,0, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,.694904124932,42,3,0,Not working
421,2020-04-04 07:59:39,week 1,Male,Daegu metropolitan city,Gyeongsang,0,4,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Frequently,Not at all,Always,Always,Always,Always,Not at all, , ,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Always,Always,Not at all,Frequently,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,1,1.08025254687,57,1,0,Retired
422,2020-04-04 08:02:35,week 1,Female,North Gyeongsang Province,Gyeongsang,4,0,3,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat easy,Somewhat willing,Always,Always,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5,.935012542889,42,5,3,Not working
423,2020-04-04 08:03:39,week 1,Male,Daegu metropolitan city,Gyeongsang,3,10,3,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Rarely,Rarely,Not at all,Always,Always,Rarely,Sometimes,Always,Always,Sometimes,Not at all,Not at all,Sometimes,Always,3,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.717782425996,51,4,2,Full time employment
424,2020-04-04 08:07:49,week 1,Male,Gwangju metropolitan city,Jeolla,1,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very easy,Very willing,Always,Always,Frequently,Frequently,Frequently,Frequently,Sometimes,Rarely,Not at all, ,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Not at all,Rarely,Sometimes,Always,3,No,No,No,No,No,No,No,No,No,No,No,Yes,No,__NA__,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,3,.699380187267,38,3,0,Full time employment
425,2020-04-04 08:13:33,week 1,Male,Seoul special city,Gyeonggi,5,1,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Very easy,Not sure,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently, ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,8 or more,.832591613061,19,8 or more,4,Not working
426,2020-04-04 08:20:33,week 1,Male,Ulsan metropolitan city,Gyeongsang,2,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Frequently,Frequently,Always,Always,Always,Always,Always,Frequently, ,Always,Always,Always,Always,Always,Frequently,Always,Always,Sometimes,Frequently,4,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,.700990401419,28,3,0,Full time employment
427,2020-04-04 08:28:00,week 1,Male,Incheon metropolitan city,Gyeonggi,2,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Somewhat willing,Frequently,Frequently,Frequently,Always,Not at all,Not at all,Not at all,Not at all,Always, ,Always,Always,Always,Always,Always,Always,Not at all,Always,Frequently,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,.837582179841,38,2,0,Full time employment
