RecordNo,endtime,qweek,gender,region,region_recode,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5_health_98,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,profile_household_size,weight,age,household_size,household_children,employment_status
44,2020-04-02 22:18:24,week 1,Male,Incheon metropolitan city,Gyeonggi,3,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Frequently,Always,Not at all,Frequently, ,Always,Rarely,Always,Always,Always,Sometimes,Not at all,Not at all,Always,Rarely,10,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,4,.855498634964,51,4,0,Full time employment
45,2020-04-02 22:19:31,week 1,Male,Gyeonggi Province,Gyeonggi,3,3,2,"No, I have not","No, they have not",Yes,No,No,No,No,No,No,Yes,Frequently,No,No,Yes,Somewhat easy,Somewhat willing,Frequently,Frequently,Sometimes,Rarely,Rarely,Rarely,Frequently,Frequently, , ,Frequently,Sometimes,Frequently,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.835484834705,25,4,0,Full time student
46,2020-04-02 22:19:45,week 1,Male,South Chungcheong Province,Chungcheong,1,1,5,"Yes, and I tested negative","Yes, and they tested negative",No,Yes,No,No,No,No,No,No,Sometimes,No,No,No,Neither easy nor difficult,Somewhat willing,Sometimes,Sometimes,Rarely,Sometimes,Always,Rarely,Rarely,Sometimes,Rarely,Rarely,Frequently,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Rarely,Rarely,Rarely,Frequently,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,.69316405235,25,2,2,Full time employment
47,2020-04-02 22:21:42,week 1,Male,Busan metropolitan city,Gyeongsang,3,50,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat difficult,Very willing,Always,Always,Always,Always,Always,Rarely,Sometimes,Not at all,Sometimes,Rarely,Always,Sometimes,Sometimes,Rarely,Always,Rarely,Rarely,Rarely,Always,Sometimes,5,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.698562923962,18,4,2,Full time employment
48,2020-04-02 22:23:38,week 1,Male,South Chungcheong Province,Chungcheong,2,10,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Frequently,Sometimes, ,Frequently,Rarely,Frequently,Always,Always,Frequently,Always,Sometimes,Always,Always,8,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,3,.694904124932,44,3,0,Part time employment
49,2020-04-02 22:28:38,week 1,Male,Seoul special city,Gyeonggi,4,4,4,"Yes, and I tested positive","Yes, and they tested positive",Yes,Yes,No,No,Yes,No,Yes,Yes,Frequently,Yes,Yes,Yes,Somewhat easy,Somewhat willing,Frequently,Always,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Frequently,Always,Always,Frequently,Frequently,4,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,4,.855498634964,45,4,2,Full time employment
50,2020-04-02 22:29:36,week 1,Male,Incheon metropolitan city,Gyeonggi,3,10,3,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Somewhat willing,Frequently,Frequently,Sometimes,Frequently,Always,Sometimes,Frequently,Always,Sometimes,Always,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,Rarely,Rarely,Sometimes,Frequently,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.855498634964,48,4,2,Full time employment
51,2020-04-02 22:32:50,week 1,Female,Busan metropolitan city,Gyeongsang,2,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Neither easy nor difficult,Very willing,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently, , ,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,.935012542889,39,1,Prefer not to say,Other
52,2020-04-02 22:38:34,week 1,Male,Incheon metropolitan city,Gyeonggi,2,2,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Somewhat willing,Rarely,Always,Always,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Frequently, ,Sometimes,Frequently,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.835484834705,30,4,0,Full time employment
53,2020-04-02 22:39:02,week 1,Male,Incheon metropolitan city,Gyeonggi,3,8,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Always,Frequently,8,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,4,.855498634964,49,4,4,Full time employment
54,2020-04-02 22:42:51,week 1,Male,Gyeonggi Province,Gyeonggi,2,2,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Neither easy nor difficult,Neither willing nor unwilling,Always,Frequently,Frequently,Always,Always,Frequently,Frequently,Frequently, , ,Frequently,Always,Frequently,Frequently,Frequently,Frequently,Always,Sometimes,Sometimes,Frequently,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,.835484834705,29,3,0,Unemployed
55,2020-04-02 23:05:30,week 1,Male,Busan metropolitan city,Gyeongsang,0,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Very easy,Very willing,Always,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Not at all,Not at all,Always,Always,Always,Always,Always,Always,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,.717782425996,48,1,0,Not working
56,2020-04-03 08:27:32,week 1,Female,South Chungcheong Province,Chungcheong,3,2,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,Yes,Somewhat difficult,Somewhat willing,Frequently,Frequently,Frequently,Always,Frequently,Rarely,Frequently,Not at all,Frequently,Not at all,Frequently,Always,Always,Always,Frequently,Frequently,Not at all,Frequently,Frequently,Frequently,7,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,4,.924573406304,38,4,2,Full time employment
57,2020-04-03 08:27:51,week 1,Female,Seoul special city,Gyeonggi,4,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes,No, , , , ,No,Somewhat difficult,Very willing,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Always,Always,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,6,1.11440727043,41,6,5 or more,Full time employment
